Frequency (GHz), S1:1 (dB), S1:1 (rad)
1.926737381364577451e-01,-1.884057242128654139e-05,-4.334695374709564980e-02
1.958849671053986830e-01,-1.697575646597394315e-05,-4.407020388379951498e-02
1.990961960743396486e-01,-1.536298285642669431e-05,-4.479358873221640780e-02
2.023074250432806143e-01,-1.428183724060279246e-05,-4.551707795119638855e-02
2.055186540122215799e-01,-1.383372466901760454e-05,-4.624063328588934318e-02
2.087298829811625456e-01,-1.394618931785568336e-05,-4.696421971955249547e-02
2.119411119501034835e-01,-1.442273778002220691e-05,-4.768781413446940287e-02
2.151523409190444769e-01,-1.501843812920580169e-05,-4.841140940761812228e-02
2.183635698879854148e-01,-1.551640415845616138e-05,-4.913501341441010167e-02
2.215747988569263804e-01,-1.578296433115145353e-05,-4.985864396776625018e-02
2.247860278258673461e-01,-1.578841943450346483e-05,-5.058232181151080253e-02
2.279972567948083118e-01,-1.559251067608484346e-05,-5.130606411980982717e-02
2.312084857637492774e-01,-1.530500748900709513e-05,-5.202988048487654921e-02
2.344197147326902431e-01,-1.503868123383338609e-05,-5.275377231345737550e-02
2.376309437016311810e-01,-1.487247101711660564e-05,-5.347773528360601908e-02
2.408421726705721744e-01,-1.483711403666499740e-05,-5.420176346683631269e-02
2.440534016395131400e-01,-1.492610630656475998e-05,-5.492585323292387828e-02
2.472646306084540779e-01,-1.512495716031622075e-05,-5.565000526353497401e-02
2.504758595773950436e-01,-1.544471958163284913e-05,-5.637422380882105288e-02
2.536870885463359815e-01,-1.594406780166667415e-05,-5.709851343342082358e-02
2.568983175152769749e-01,-1.672829022605979492e-05,-5.782287452377743442e-02
2.601095464842179683e-01,-1.792205120014007036e-05,-5.854729940934786520e-02
2.633207754531589062e-01,-1.962276151148246596e-05,-5.927177087806661387e-02
2.665320044220998441e-01,-2.184947689907165214e-05,-5.999626415023176507e-02
2.697432333910407820e-01,-2.450560173588458668e-05,-6.072075223757810586e-02
2.729544623599817754e-01,-2.737099818416053175e-05,-6.144521342095861371e-02
2.761656913289227688e-01,-3.013101268048809877e-05,-6.216963872206510144e-02
2.793769202978637067e-01,-3.243880781707452794e-05,-6.289403701488598120e-02
2.825881492668047001e-01,-3.399662489672308958e-05,-6.361843592224494803e-02
2.857993782357455825e-01,-3.463456933253302990e-05,-6.434287774755068079e-02
2.890106072046865759e-01,-3.436450332773972161e-05,-6.506741108842836741e-02
2.922218361736275694e-01,-3.339216674184958397e-05,-6.579208005891101774e-02
2.954330651425685073e-01,-3.208129417754340229e-05,-6.651691382988009216e-02
2.986442941115095007e-01,-3.087630028858826659e-05,-6.724191924471378812e-02
3.018555230804504386e-01,-3.020145857214516925e-05,-6.796707855190235736e-02
3.050667520493913765e-01,-3.036120462484753586e-05,-6.869235301074803901e-02
3.082779810183323699e-01,-3.146638475050885073e-05,-6.941769162306227203e-02
3.114892099872733078e-01,-3.340491933599345494e-05,-7.014304293298913306e-02
3.147004389562143012e-01,-3.586424316881062951e-05,-7.086836706831292632e-02
3.179116679251552391e-01,-3.840006179327038897e-05,-7.159364516235611209e-02
3.211228968940961770e-01,-4.053482842801771531e-05,-7.231888398328835399e-02
3.243341258630371704e-01,-4.186271133731056781e-05,-7.304411480198753914e-02
3.275453548319781638e-01,-4.213716311675208645e-05,-7.376938691851829544e-02
3.307565838009191017e-01,-4.132234110935554617e-05,-7.449475748018966059e-02
3.339678127698600396e-01,-3.959888566071160815e-05,-7.522027997134728139e-02
3.371790417388009775e-01,-3.732533828794875946e-05,-7.594599389023462543e-02
3.403902707077419709e-01,-3.496602526546982117e-05,-7.667191767496461807e-02
3.436014996766829643e-01,-3.300239408638753970e-05,-7.739804606879738258e-02
3.468127286456239022e-01,-3.184652583524909519e-05,-7.812435207921468450e-02
3.500239576145648956e-01,-3.177304967150044909e-05,-7.885079274673367777e-02
3.532351865835058335e-01,-3.288016138159439804e-05,-7.957731729553955968e-02
3.564464155524467714e-01,-3.508363017630373418e-05,-8.030387598069130273e-02
