Frequency (GHz), G_r Theta Pol: Theta=90.0 & Phi=0.0 (dB), G_r Theta Pol: Theta=90.0 & Phi=0.0 (rad of rEfar/Vinc - eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Phi Pol: Theta=90.0 & Phi=0.0 (dB), G_r Phi Pol: Theta=90.0 & Phi=0.0 (rad of rEfar/Vinc- eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Theta Pol: Theta=90.0 & Phi=180.0 (dB), G_r Theta Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Vinc - eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Phi Pol: Theta=90.0 & Phi=180.0 (dB), G_r Phi Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Vinc- eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Theta Pol: Theta=45.0 & Phi=0.0 (dB), G_r Theta Pol: Theta=45.0 & Phi=0.0 (rad of rEfar/Vinc - eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Phi Pol: Theta=45.0 & Phi=0.0 (dB), G_r Phi Pol: Theta=45.0 & Phi=0.0 (rad of rEfar/Vinc- eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location)
1.653782919004595442e+01,-1.598614400139834579e+00,1.230792690984957360e+00,-1.775417764390886646e+02,1.776583641235219391e+00,-1.598551115316814819e+00,1.230801380853246307e+00,-1.332881337220851776e+02,-1.057986944070453017e+00,-5.923961780144449740e+00,-2.925380530809108315e+00,-1.508957892213479681e+02,-5.273574210229687864e-01
1.654104041901489808e+01,-1.600101172739617716e+00,1.229992459644135838e+00,-1.774406377634540206e+02,1.798135552253506519e+00,-1.600037047248352273e+00,1.230001133491501086e+00,-1.332634721572813987e+02,-1.062851793702517256e+00,-5.912893355197315515e+00,-2.925477269686646231e+00,-1.508605527544361280e+02,-5.338502613626899818e-01
1.654425164798383818e+01,-1.601594268111077302e+00,1.229191820881710306e+00,-1.772218864650084811e+02,1.808452261974014874e+00,-1.601529297690412079e+00,1.229200478104334193e+00,-1.332374471748186124e+02,-1.067724558967000137e+00,-5.901829498917276595e+00,-2.925576067121158808e+00,-1.508203818873902264e+02,-5.428337541049013115e-01
1.654746287695277829e+01,-1.603094320300739284e+00,1.228390816007009834e+00,-1.769618388777698783e+02,1.802643668511633379e+00,-1.603028500280018198e+00,1.228399455863087297e+00,-1.332102805522154370e+02,-1.072689890598887308e+00,-5.890770934471175835e+00,-2.925676883948495899e+00,-1.507873803387852831e+02,-5.542152945621102722e-01
1.655067410592171839e+01,-1.604601661500724141e+00,1.227589525096300482e+00,-1.767393687612414794e+02,1.781521970632833352e+00,-1.604534987476730290e+00,1.227598146698237080e+00,-1.331825502301745416e+02,-1.077805800643162115e+00,-5.879718090983168999e+00,-2.925779639277232391e+00,-1.507712544289165919e+02,-5.671988912964360807e-01
1.655388533489065850e+01,-1.606116167862304600e+00,1.226788042113419408e+00,-1.766122447268378153e+02,1.749925284907659417e+00,-1.606048636309436617e+00,1.226796644463049812e+00,-1.331550120686545995e+02,-1.083086046622145693e+00,-5.868670934560312524e+00,-2.925884235344530460e+00,-1.507766594712639687e+02,-5.805403878057366907e-01
1.655709656385959860e+01,-1.607637245143173299e+00,1.225986443249139413e+00,-1.766094233925440165e+02,1.714697876533316290e+00,-1.607568853766256467e+00,1.225995025305249397e+00,-1.331283685776851939e+02,-1.088496165033092655e+00,-5.857628941355121022e+00,-2.925990590070820296e+00,-1.508020232319753688e+02,-5.929033486564321276e-01
1.656030779282854226e+01,-1.609163968792978849e+00,1.225184758126376394e+00,-1.767305474358955166e+02,1.683237841846243699e+00,-1.609094716511257017e+00,1.225193318883677884e+00,-1.331030556838991288e+02,-1.093964186219552381e+00,-5.846591231204666173e+00,-2.926098667386483498e+00,-1.508399734313431111e+02,-6.032320521750923481e-01
1.656351902179748237e+01,-1.610695346150847529e+00,1.224382953194995682e+00,-1.769459923354316402e+02,1.662349208330730299e+00,-1.610625232716121014e+00,1.224391491749984073e+00,-1.330791115696674467e+02,-1.099402622952350805e+00,-5.835556831534648659e+00,-2.926208495527512277e+00,-1.508793134464263233e+02,-6.110625723140372667e-01
1.656673025076642247e+01,-1.612230629058944098e+00,1.223580933485250988e+00,-1.771975360859723310e+02,1.656784994248099663e+00,-1.612159654424904609e+00,1.223589449068330781e+00,-1.330561661599037109e+02,-1.104735052070148216e+00,-5.824524999296855299e+00,-2.926320166602265793e+00,-1.509082424209051965e+02,-6.166861192426115190e-01
1.656994147973536613e+01,-1.613769585362243353e+00,1.222778563733961654e+00,-1.774063830694200590e+02,1.667238232719875368e+00,-1.613697749000470694e+00,1.222787055697606151e+00,-1.330335540439638748e+02,-1.109919321351831689e+00,-5.813495506491510589e+00,-2.926433816002254051e+00,-1.509180459276314537e+02,-6.210881269625082579e-01
1.657315270870430624e+01,-1.615312644059501146e+00,1.221975704185089606e+00,-1.774970877414466770e+02,1.688719150927275647e+00,-1.615239944435274966e+00,1.221984171951453257e+00,-1.330105172128315587e+02,-1.114960391669856721e+00,-5.802468799651324005e+00,-2.926549586187306762e+00,-1.509060093093168291e+02,-6.256479066093225683e-01
1.657636393767324634e+01,-1.616860860460286098e+00,1.221172251744556458e+00,-1.774331379446673225e+02,1.711446713967926803e+00,-1.616787294832894295e+00,1.221180694728621896e+00,-1.329864366817645589e+02,-1.119908842627848511e+00,-5.791445975157031967e+00,-2.926667584294926350e+00,-1.508763401324922313e+02,-6.316896264520807103e-01
1.657957516664218645e+01,-1.618415696404458481e+00,1.220368175018810231e+00,-1.772382216831128687e+02,1.725061264396940297e+00,-1.618341261016511323e+00,1.220376592550860950e+00,-1.329610221628480815e+02,-1.124845381206401651e+00,-5.780428562261972658e+00,-2.926787845430910195e+00,-1.508386814302659502e+02,-6.400563237564103058e-01
1.658278639561112655e+01,-1.619978663070129388e+00,1.219563532797655281e+00,-1.769820770407381474e+02,1.723296653576964044e+00,-1.619903353669479351e+00,1.219571924069214663e+00,-1.329344008229327869e+02,-1.129856058071452063e+00,-5.769418160473241741e+00,-2.926910312603374198e+00,-1.508048946320385539e+02,-6.508653320447355117e-01
1.658599762458007021e+01,-1.621550915340941756e+00,1.218758469575715875e+00,-1.767453234391471142e+02,1.705661396747515157e+00,-1.621474727874948840e+00,1.218766833625909651e+00,-1.329070773623926129e+02,-1.135005873426791378e+00,-5.758416021957031283e+00,-2.927034840201014898e+00,-1.507854093870234919e+02,-6.635077659339554401e-01
1.658920885354901031e+01,-1.623132905062957265e+00,1.217953187708419760e+00,-1.765917638107000016e+02,1.676177960118885757e+00,-1.623055836330348445e+00,1.217961523455217021e+00,-1.328797782820924169e+02,-1.140318963957230203e+00,-5.747422690039426740e+00,-2.927161221732567320e+00,-1.507862960412904272e+02,-6.768550336080366714e-01
1.659242008251795042e+01,-1.624724189937009289e+00,1.217147902152869721e+00,-1.765574127866536003e+02,1.641319456622736928e+00,-1.624646237994657128e+00,1.217156208459707845e+00,-1.328532293406478857e+02,-1.145771414835649038e+00,-5.736437795163372044e+00,-2.927289235909675824e+00,-1.508076942256900850e+02,-6.895886357881279016e-01
1.659563131148689408e+01,-1.626323457369150738e+00,1.216342788701839206e+00,-1.766490129839006613e+02,1.608417643033926314e+00,-1.626244621566538928e+00,1.216351064459067599e+00,-1.328279348721619328e+02,-1.151298737194581312e+00,-5.725460071669600026e+00,-2.927418699907192945e+00,-1.508438032218844569e+02,-7.005684274074790441e-01
1.659884254045583418e+01,-1.627928767943441102e+00,1.215537938783706418e+00,-1.768442054789436213e+02,1.584495075169175760e+00,-1.627849048572893365e+00,1.215546182979574397e+00,-1.328040255590416336e+02,-1.156815576324736528e+00,-5.714487602275887923e+00,-2.927549516260520068e+00,-1.508844233617690236e+02,-7.091613673562622289e-01
1.660205376942477429e+01,-1.629537965807627886e+00,1.214733332624421625e+00,-1.770917124108561040e+02,1.574935032452557726e+00,-1.629457363478081788e+00,1.214741544383492133e+00,-1.327812196510685112e+02,-1.162241633160668419e+00,-5.703518237228620613e+00,-2.927681701072818221e+00,-1.509178303249386772e+02,-7.154482548574154777e-01
1.660526499839371439e+01,-1.631149158628280471e+00,1.213928838136424160e+00,-1.773167380545356195e+02,1.581593012048503777e+00,-1.631067673556907405e+00,1.213937016713339423e+00,-1.327589087770539606e+02,-1.167526023370409005e+00,-5.692550088039080691e+00,-2.927815385738756770e+00,-1.509343603189966814e+02,-7.202278636441280524e-01
