Frequency (GHz), S1:1 (dB), S1:1 (rad), S2:1 (dB), S2:1 (rad), S_spiceport1:lumpedport1 * |Z_spice|^2/Real(Z_spice) (dB), S_spiceport1:lumpedport1 * |Z_spice|^2/Real(Z_spice) (rad), S_spiceport2:lumpedport1 * |Z_spice|^2/Real(Z_spice) (dB), S_spiceport2:lumpedport1 * |Z_spice|^2/Real(Z_spice) (rad)
1.156042428818746387e-01,-1.237977369929473070e+01,8.939722556998036529e-01,-2.586829474127188555e-01,-6.805969896721326684e-01,-5.110619808162248034e+01,1.328550028321288101e+00,-5.110952982925095966e+01,1.356071417375693366e+00
1.188154718508155905e-01,-1.219552240373921670e+01,8.759637726084326115e-01,-2.702471728819345609e-01,-6.987122677012175265e-01,-5.084922087209320551e+01,1.322821616687538393e+00,-5.085237471701627499e+01,1.349598490848872734e+00
1.220267008197565700e-01,-1.201890653629091332e+01,8.580075116765797372e-01,-2.818331845027743365e-01,-7.167753382547832341e-01,-5.059812860922416178e+01,1.317015207208993122e+00,-5.060112200973068752e+01,1.343086591495507021e+00
1.252379297886975218e-01,-1.184958781833787000e+01,8.401033985518799874e-01,-2.934226316773923537e-01,-7.347862803231006712e-01,-5.035259800721732404e+01,1.311132870110212290e+00,-5.035544682329047816e+01,1.336534945042076039e+00
1.284491587576384874e-01,-1.168725351327739403e+01,8.222512766777622106e-01,-3.049972753714367268e-01,-7.527452551158805294e-01,-5.011233107328247627e+01,1.305176408082077133e+00,-5.011504930841901029e+01,1.329942784984469162e+00
1.316603877265794531e-01,-1.153161398775371538e+01,8.044509086720027513e-01,-3.165390136136470023e-01,-7.706525046533801993e-01,-4.987705254633570462e+01,1.299147405125685495e+00,-4.987965217345439584e+01,1.323309351586875238e+00
1.348716166955203910e-01,-1.138240057071756794e+01,7.867019777482462395e-01,-3.280299057645907346e-01,-7.885083502951139023e-01,-4.964650760404168039e+01,1.293047265091859410e+00,-4.964899850606664700e+01,1.316633890851983013e+00
1.380828456644613844e-01,-1.123936366832814926e+01,7.690040891719108762e-01,-3.394521956411866159e-01,-8.063131912224364983e-01,-4.942045981250252140e+01,1.286877240240827724e+00,-4.942284985183793822e+01,1.309915653468254781e+00
1.412940746334023501e-01,-1.110227109950912272e+01,7.513567717463446316e-01,-3.507883336068723379e-01,-8.240675028872979091e-01,-4.919868929975648086e+01,1.280638450576485843e+00,-4.920098451441355536e+01,1.303153893742093672e+00
1.445053036023432880e-01,-1.097090662252941229e+01,7.337594793299684337e-01,-3.620209977495986164e-01,-8.417718354349021936e-01,-4.898099113839766261e+01,1.274331895139914517e+00,-4.898319604747976541e+01,1.296347868524572178e+00
1.477165325712842536e-01,-1.084506862754692058e+01,7.162115923897212078e-01,-3.731331142698147696e-01,-8.594268121031547469e-01,-4.876717392446386157e+01,1.267958456820702295e+00,-4.876929191339067415e+01,1.289496836143790848e+00
1.509277615402252193e-01,-1.072456897381846730e+01,6.987124195999989684e-01,-3.841078771869961273e-01,-8.770331275971949836e-01,-4.855705853973098129e+01,1.261518902515015084e+00,-4.855909228703900737e+01,1.282600055354783386e+00
1.541389905091661849e-01,-1.060923195339429270e+01,6.812611994988698738e-01,-3.949287674479444732e-01,-8.945915464334207590e-01,-4.835047708322500171e+01,1.255013880592174447e+00,-4.835242898669748968e+01,1.275656784318984993e+00
1.573502194781071506e-01,-1.049889336570191567e+01,6.638571022142479849e-01,-4.055795714845228384e-01,-9.121029012446681961e-01,-4.814727195566820939e+01,1.248443917608112352e+00,-4.814914451616787261e+01,1.268666279624648840e+00
1.605614484470480885e-01,-1.039339968958194760e+01,6.464992312715244216e-01,-4.160443992261952384e-01,-9.295680910369749084e-01,-4.794729507826445314e+01,1.241809416022159107e+00,-4.794909120476054909e+01,1.261627795358122528e+00
1.637726774159890819e-01,-1.029260734114965992e+01,6.291866254907835243e-01,-4.263077015286076410e-01,-9.469880793888730830e-01,-4.775040722520827075e+01,1.235110654347389758e+00,-4.775213043346767705e+01,1.254540582233703905e+00
1.669839063849300198e-01,-1.019638200738846834e+01,6.119182609762380265e-01,-4.363542869377273759e-01,-9.643638925864463918e-01,-4.755647744800452870e+01,1.228347790722990052e+00,-4.755813193724878829e+01,1.247403886786964788e+00
1.701951353538709855e-01,-1.010459804668999162e+01,5.946930531931489128e-01,-4.461693376758701368e-01,-9.816966176913568543e-01,-4.736538256943373426e+01,1.221520870380648383e+00,-4.736697317467207569e+01,1.240216950633155291e+00
1.734063643228119511e-01,-1.001713794868784646e+01,5.775098591189959940e-01,-4.557384247150053080e-01,-9.989874005443399874e-01,-4.717700672598270728e+01,1.214629836934593810e+00,-4.717853875728820157e+01,1.232979009788814917e+00
1.766175932917529168e-01,-9.933891846724440811e+00,5.603674794466452225e-01,-4.650475217988939147e-01,-1.016237443712808108e+00,-4.699124093982482009e+01,1.207674546908731550e+00,-4.699271993208930098e+01,1.225689294051312217e+00
1.798288222606938824e-01,-9.854757077170418711e+00,5.432646608088823603e-01,-4.740830182903812418e-01,-1.033448004397484743e+00,-4.680798270487368740e+01,1.200654786474783853e+00,-4.680941411125229479e+01,1.218347026427999191e+00
1.830400512296348481e-01,-9.779637780608176456e+00,5.262000979869340123e-01,-4.828317307543932291e-01,-1.050620392318754037e+00,-4.662713557580859458e+01,1.193570289056090639e+00,-4.662852444410179942e+01,1.210951422604322536e+00
