Frequency (GHz), A_e * |Z_spice|^2/Real(Z_spice) for spice port 1 - Vport/Einc phase center info: Vport (centered) port location & Einc location (dB), A_e * |Z_spice|^2/Real(Z_spice) for spice port 1 - Vport/Einc phase center info: Vport (centered) port location & Einc location (rad), A_e * |Z_spice|^2/Real(Z_spice) for spice port 2 - Vport/Einc phase center info: Vport (centered) port location & Einc location (dB), A_e * |Z_spice|^2/Real(Z_spice) for spice port 2 - Vport/Einc phase center info: Vport (centered) port location & Einc location (rad)
2.504758622317017625e-01,-5.571576455948743956e+01,1.407710937161304576e+00,-5.571652410874476402e+01,1.420417603383133942e+00
2.568983202376428077e-01,-5.549568632277859592e+01,1.404176098803366024e+00,-5.549640944484423244e+01,1.416565434647186539e+00
2.633207782435839084e-01,-5.528103147550770302e+01,1.400625742516875771e+00,-5.528171992495035170e+01,1.412713108521754135e+00
2.697432362495249536e-01,-5.507153804056373758e+01,1.397060996631030338e+00,-5.507219380440372447e+01,1.408860631158047605e+00
2.761656942554660543e-01,-5.486696249074324783e+01,1.393482866613121596e+00,-5.486758781812942232e+01,1.405008008006333187e+00
2.825881522614071550e-01,-5.466707810761280939e+01,1.389892248364669181e+00,-5.466767548098268747e+01,1.401155243895844116e+00
2.890106102673481447e-01,-5.447167352225501702e+01,1.386289941861096775e+00,-5.447224557912073806e+01,1.397302343104097622e+00
2.954330682732892455e-01,-5.428055140816376678e+01,1.382676664921871579e+00,-5.428110082720243668e+01,1.393449309417259530e+00
3.018555262792302907e-01,-5.409352730185992897e+01,1.379053066721035004e+00,-5.409405667001269791e+01,1.389596146182908498e+00
3.082779842851713914e-01,-5.391042853174233329e+01,1.375419740540895219e+00,-5.391094021026318472e+01,1.385742856356346753e+00
3.147004422911124921e-01,-5.373109324021079658e+01,1.371777235239143300e+00,-5.373158924695555783e+01,1.381889442541419655e+00
3.211229002970535373e-01,-5.355536948810402720e+01,1.368126064940506481e+00,-5.355585141090207912e+01,1.378035907026652129e+00
3.275453583029945825e-01,-5.338311443388163013e+01,1.364466716570614357e+00,-5.338358338585683782e+01,1.374182251817398948e+00
3.339678163089356278e-01,-5.321419358265389121e+01,1.360799655008525955e+00,-5.321465020528093959e+01,1.370328478664594396e+00
3.403902743148767285e-01,-5.304848010206116271e+01,1.357125325827156503e+00,-5.304892461609524901e+01,1.366474589090612701e+00
3.468127323208178292e-01,-5.288585420310676000e+01,1.353444155796243553e+00,-5.288628650190589298e+01,1.362620584412669977e+00
3.532351903267588744e-01,-5.272620258438406893e+01,1.349756551517918846e+00,-5.272662235915342421e+01,1.358766465764159603e+00
3.596576483326999751e-01,-5.256941793779454741e+01,1.346062896728677849e+00,-5.256982482046222316e+01,1.354912234114257430e+00
3.660801063386410203e-01,-5.241539851296784747e+01,1.342363548914880189e+00,-5.241579222017649187e+01,1.351057890286101015e+00
3.725025643445820656e-01,-5.226404773634472178e+01,1.338658835938106417e+00,-5.226442819767949288e+01,1.347203434973834213e+00
3.789250223505231663e-01,-5.211527387947871404e+01,1.334949053344349545e+00,-5.211564133461965298e+01,1.343348868758777792e+00
3.853474803564642670e-01,-5.196898976976928708e+01,1.331234462937158192e+00,-5.196934482262361144e+01,1.339494192124991434e+00
3.917699383624053122e-01,-5.182511253576890198e+01,1.327515293037029753e+00,-5.182545615847185871e+01,1.335639405474486452e+00
3.981923963683464129e-01,-5.168356337858659799e+01,1.323791740642324966e+00,-5.168389686405700445e+01,1.331784509142351469e+00
4.046148543742874026e-01,-5.154426736087379624e+01,1.320063975471313489e+00,-5.154459222874528024e+01,1.327929503412064172e+00
4.110373123802285034e-01,-5.140715320549154654e+01,1.316332145625302097e+00,-5.140747107202372490e+01,1.324074388531278013e+00
4.174597703861696041e-01,-5.127215309721754721e+01,1.312596384395381399e+00,-5.127246552454593598e+01,1.320219164728379191e+00
4.238822283921106493e-01,-5.113920248267746871e+01,1.308856817565291264e+00,-5.113951082589068875e+01,1.316363832230138087e+00
4.303046863980517500e-01,-5.100823986592666870e+01,1.305113570461568617e+00,-5.100854513752534558e+01,1.312508391280789111e+00
4.367271444039927952e-01,-5.087920659955972980e+01,1.301366773984496739e+00,-5.087950936962237591e+01,1.308652842162901120e+00
4.431496024099338404e-01,-5.075204667363833977e+01,1.297616568925939351e+00,-5.075234702051572810e+01,1.304797185220420985e+00
4.495720604158749412e-01,-5.062670650684401608e+01,1.293863108039940757e+00,-5.062700402770578023e+01,1.300941420884295097e+00
4.559945184218159864e-01,-5.050313474583528262e+01,1.290106555565877722e+00,-5.050342862943028877e+01,1.297085549701106233e+00
4.624169764277570871e-01,-5.038128207961442229e+01,1.286347084189754186e+00,-5.038157123591506092e+01,1.293229572365195867e+00
4.688394344336981878e-01,-5.026110107565344265e+01,1.282584869737094291e+00,-5.026138430950378932e+01,1.289373489754773505e+00
4.752618924396392330e-01,-5.014254604354452027e+01,1.278820084186318207e+00,-5.014282225294292061e+01,1.285517302972565501e+00
4.816843504455802782e-01,-5.002557293008325701e+01,1.275052887838618032e+00,-5.002584130516579819e+01,1.281661013391609760e+00
