Frequency (GHz), S1:1 (dB), S1:1 (rad), S2:1 (dB), S2:1 (rad), S_spiceport1:lumpedport1 * |Z_spice|^2/Real(Z_spice) (dB), S_spiceport1:lumpedport1 * |Z_spice|^2/Real(Z_spice) (rad), S_spiceport2:lumpedport1 * |Z_spice|^2/Real(Z_spice) (dB), S_spiceport2:lumpedport1 * |Z_spice|^2/Real(Z_spice) (rad)
1.605614484470480885e-01,-1.039366469017762462e+01,6.464915959611269303e-01,-4.160300926704194047e-01,-9.295776032638455311e-01,-1.244854848706843597e+01,2.711889948735831890e+00,-3.839511575116538467e+01,1.190923254594330460e+00
1.637726774159890819e-01,-1.029287627932454541e+01,6.291787859584886400e-01,-4.262927378400618861e-01,-9.469978457277639095e-01,-1.242423526461718808e+01,2.702387005988764024e+00,-3.819946871982027403e+01,1.182559509214315074e+00
1.669839063849300198e-01,-1.019665509612862131e+01,6.119102237380539266e-01,-4.363386690071025531e-01,-9.643739197806014962e-01,-1.240003863371343762e+01,2.692830674171450500e+00,-3.800681280080453206e+01,1.174144584095005328e+00
1.701951353538709855e-01,-1.010487549303523025e+01,5.946848279077286969e-01,-4.461530726612038533e-01,-9.817069124612710640e-01,-1.237594472361848474e+01,2.683239787726879211e+00,-3.781702498517921640e+01,1.165677849110733577e+00
1.734063643228119511e-01,-1.001741994562887150e+01,5.775014584391711114e-01,-4.557215237778278194e-01,-9.989979695697518425e-01,-1.235188124894725448e+01,2.673631446359473252e+00,-3.762998951440104634e+01,1.157158640348151080e+00
1.766175932917529168e-01,-9.934178565179273335e+00,5.603589185706342457e-01,-4.650300000152680080e-01,-1.016248293626114574e+00,-1.232772538010569008e+01,2.664018756707276836e+00,-3.744559740805921422e+01,1.148586264605323981e+00
1.798288222606938824e-01,-9.855048658873378997e+00,5.432559567248886889e-01,-4.740648947738279606e-01,-1.033459141775891599e+00,-1.230331801931250268e+01,2.654408978038813149e+00,-3.726374602389283552e+01,1.139960005341106974e+00
1.830400512296348481e-01,-9.779934332780625184e+00,5.261912684352872960e-01,-4.828130289787081475e-01,-1.050631823660804764e+00,-1.227848306641608822e+01,2.644802307806572550e+00,-3.708433864153874993e+01,1.131279129416274287e+00
1.862512801985757860e-01,-9.708746133230636843e+00,5.091634982709607460e-01,-4.912616614942205140e-01,-1.067767699280508964e+00,-1.225304960706251656e+01,2.635191481988110596e+00,-3.690728406414683604e+01,1.122542893868582858e+00
1.894625091675167794e-01,-9.641400722840611337e+00,4.921712417506953208e-01,-4.993984981440728887e-01,-1.084868176875912971e+00,-1.222687448918992814e+01,2.625562279649964470e+00,-3.673249623478074710e+01,1.113750551946049994e+00
1.926737381364577451e-01,-9.577820587923449480e+00,4.752130472347418366e-01,-5.072116993953236230e-01,-1.101934710866964151e+00,-1.219986254927869140e+01,2.615894918154302751e+00,-3.655989386717911316e+01,1.104901357689429542e+00
1.958849671053986830e-01,-9.517933774444582440e+00,4.582874177849675101e-01,-5.146898868551209594e-01,-1.118968799876912668e+00,-1.217198186386929670e+01,2.606166215738674463e+00,-3.638940009276300458e+01,1.095994568500838318e+00
1.990961960743396486e-01,-9.461673650079285736e+00,4.413928129864624350e-01,-5.218221488198589997e-01,-1.135971984870600471e+00,-1.214327185410781240e+01,2.596352295542231126e+00,-3.622094212754065978e+01,1.087029445347217793e+00
2.023074250432806143e-01,-9.408978690255112909e+00,4.245276507279960865e-01,-5.285980451955459847e-01,-1.152945847426286363e+00,-1.211384283172220222e+01,2.586431524086732825e+00,-3.605445096362208801e+01,1.078005250504109114e+00
2.055186540122215799e-01,-9.359792286346465318e+00,4.076903089441818451e-01,-5.350076121653589700e-01,-1.169892008149283180e+00,-1.208386656265482628e+01,2.576387330446205048e+00,-3.588986109031783656e+01,1.068921243020999334e+00
2.087298829811625456e-01,-9.314062574422386831e+00,3.908791273284410450e-01,-5.410413670058644708e-01,-1.186812125222083347e+00,-1.205355851760454655e+01,2.566210548052439311e+00,-3.572711024923576417e+01,1.059776672355245086e+00
2.119411119501034835e-01,-9.271742283133580287e+00,3.740924090320013051e-01,-5.466903134400147302e-01,-1.203707893070863566e+00,-1.202315353574290668e+01,2.555900961273910532e+00,-3.556613922646547366e+01,1.050570770848115565e+00
2.151523409190444769e-01,-9.232788599466507762e+00,3.573284223694093709e-01,-5.519459478584162193e-01,-1.220581041113782073e+00,-1.199287751429025306e+01,2.545467819155537548e+00,-3.540689168298958123e+01,1.041302745877414226e+00
2.183635698879854148e-01,-9.197163051193797401e+00,3.405854025543565422e-01,-5.568002666412572577e-01,-1.237433332543983688e+00,-1.196291834658652320e+01,2.534929189497816537e+00,-3.524931402209163878e+01,1.031971772595770442e+00
2.215747988569263804e-01,-9.164831404921461200e+00,3.238615534901364557e-01,-5.612457746763493960e-01,-1.254266563091404940e+00,-1.193339959926295535e+01,2.524310155396121136e+00,-3.509335529000118470e+01,1.022576988139352494e+00
2.247860278258673461e-01,-9.135763578684185759e+00,3.071550496360258009e-01,-5.652754950043797910e-01,-1.271082559703821557e+00,-1.190436031946651951e+01,2.513639990434561433e+00,-3.493896710361652680e+01,1.013117488065764293e+00
2.279972567948083118e-01,-9.109933568083715016e+00,2.904640379638940839e-01,-5.688829793451064543e-01,-1.287883179090266950e+00,-1.187574390077044839e+01,2.502948575724063041e+00,-3.478610359716414280e+01,1.003592325560198839e+00
2.312084857637492774e-01,-9.087319385017128326e+00,2.737866400084066898e-01,-5.720623190866904739e-01,-1.304670306079595443e+00,-1.184739813610943315e+01,2.492262430769922155e+00,-3.463472137835168496e+01,9.940005136542580111e-01
2.344197147326902431e-01,-9.067903008115756336e+00,2.571209539998691729e-01,-5.748081561742232060e-01,-1.321445851763450419e+00,-1.181908748714309709e+01,2.481600810094231946e+00,-3.448477948415036565e+01,9.843410303601886069e-01
2.376309437016311810e-01,-9.051670344126257817e+00,2.404650570521005559e-01,-5.771156932343588508e-01,-1.338211751415383954e+00,-1.179051726086906271e+01,2.470972357699834809e+00,-3.433623932692259473e+01,9.746128262697685285e-01
2.408421726705721744e-01,-9.038611199623471038e+00,2.238170073604888455e-01,-5.789807022384828583e-01,-1.354969962204633172e+00,-1.176136789851676134e+01,2.460372800810259442e+00,-3.418906462320627782e+01,9.648148338406767888e-01
