Frequency (GHz), A_e * |Z_spice|^2/Real(Z_spice) for spice port 1 - Vport/Einc phase center info: Vport (centered) port location & Einc location (dB), A_e * |Z_spice|^2/Real(Z_spice) for spice port 1 - Vport/Einc phase center info: Vport (centered) port location & Einc location (rad), A_e * |Z_spice|^2/Real(Z_spice) for spice port 2 - Vport/Einc phase center info: Vport (centered) port location & Einc location (dB), A_e * |Z_spice|^2/Real(Z_spice) for spice port 2 - Vport/Einc phase center info: Vport (centered) port location & Einc location (rad)
5.266415509063178124e-01,-4.886766138937204573e+01,1.288584462610559811e+00,-4.886790150554202228e+01,1.294628842854258499e+00
5.330640088441996882e-01,-4.876198409531893674e+01,1.285287325888020415e+00,-4.876222070781732043e+01,1.291258860351119253e+00
5.394864667820815640e-01,-4.865756273911503627e+01,1.281988365871804536e+00,-4.865779604517382495e+01,1.287888799614105295e+00
5.459089247199635508e-01,-4.855436751676202789e+01,1.278687645319337873e+00,-4.855459767131371507e+01,1.284518664562774859e+00
5.523313826578455377e-01,-4.845236967812718376e+01,1.275385226482898204e+00,-4.845259678727885699e+01,1.281148459881328305e+00
5.587538405957274135e-01,-4.835154147344890418e+01,1.272081171651065379e+00,-4.835176559310969679e+01,1.277778191123338347e+00
5.651762985336094003e-01,-4.825185610179025986e+01,1.268775543469459643e+00,-4.825207724228134509e+01,1.274407864829380621e+00
5.715987564714911651e-01,-4.815328766196222432e+01,1.265468405009715802e+00,-4.815350579872757919e+01,1.271037488659219061e+00
5.780212144093731519e-01,-4.805581110655673882e+01,1.262159819585595866e+00,-4.805602619627728700e+01,1.267667071540488966e+00
5.844436723472551387e-01,-4.795940219975453545e+01,1.258849850349483601e+00,-4.795961420034111455e+01,1.264296623836136835e+00
5.908661302851370145e-01,-4.786403747948880039e+01,1.255538559737475968e+00,-4.786424637169814389e+01,1.260926157533259762e+00
5.972885882230190013e-01,-4.776969422435300316e+01,1.252226008862554751e+00,-4.776990003224288017e+01,1.257555686456485411e+00
6.037110461609008771e-01,-4.767635042534858769e+01,1.248912256978332858e+00,-4.767655323256285271e+01,1.254185226509598516e+00
6.101335040987827529e-01,-4.758398476220254736e+01,1.245597361146557613e+00,-4.758418472122620813e+01,1.250814795949800828e+00
6.165559620366647398e-01,-4.749257658358372680e+01,1.242281376236798129e+00,-4.749277391566636908e+01,1.247444415699829445e+00
