Frequency (GHz), Theta Pol: Theta=90.0 & Phi=180.0 (dBsm), Theta Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin), Phi Pol: Theta=90.0 & Phi=180.0 (dBsm), Phi Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin)
2.890106102673482003e+00,-2.931603960040853352e+01,-1.765250127781261336e+00,-1.799763769106499183e+02,-1.715384763276307512e-01
2.909373476691305083e+00,-2.923609290130007921e+01,-1.769276716827127727e+00,-1.798702237139865190e+02,-2.080678718949862394e-01
2.928640850709128163e+00,-2.915778148671671133e+01,-1.773330770323852112e+00,-1.797757556342662895e+02,-2.432203386733448880e-01
2.947908224726951687e+00,-2.908110637805765109e+01,-1.777410821485448267e+00,-1.796915646004636358e+02,-2.769545817056991432e-01
2.967175598744774767e+00,-2.900606841532374958e+01,-1.781515361010768794e+00,-1.796161928825298162e+02,-3.093010013761984256e-01
2.986442972762597847e+00,-2.893266823915731933e+01,-1.785642841936515346e+00,-1.795484466506948706e+02,-3.403555117966762245e-01
3.005710346780421371e+00,-2.886090628809545322e+01,-1.789791683928649846e+00,-1.794876491153974598e+02,-3.702570294024035147e-01
3.024977720798244452e+00,-2.879078280608524310e+01,-1.793960276270784693e+00,-1.794337716816527006e+02,-3.991536538148111601e-01
3.044245094816067532e+00,-2.872229785282521775e+01,-1.798146979202998486e+00,-1.793874096043498128e+02,-4.271655647196898054e-01
3.063512468833891056e+00,-2.865545130908951066e+01,-1.802350123745156685e+00,-1.793496071784031756e+02,-4.543536135011042587e-01
3.082779842851714136e+00,-2.859024287093274452e+01,-1.806568010573237348e+00,-1.793215748917653229e+02,-4.807011199572071014e-01
3.102047216869536772e+00,-2.852667203005190899e+01,-1.810798908788393113e+00,-1.793043660833753279e+02,-5.061130140217948714e-01
3.121314590887360296e+00,-2.846473804165255572e+01,-1.815041055455686392e+00,-1.792985877860038215e+02,-5.304322984530379648e-01
3.140581964905183376e+00,-2.840443988481265691e+01,-1.819292656586610768e+00,-1.793042104601344420e+02,-5.534699657049824140e-01
3.159849338923006457e+00,-2.834577622257715390e+01,-1.823551889855612451e+00,-1.793205190108083116e+02,-5.750416920924844577e-01
3.179116712940829537e+00,-2.828874536926483430e+01,-1.827816908883029168e+00,-1.793462179666865381e+02,-5.950031509619552184e-01
3.198384086958653061e+00,-2.823334527069226496e+01,-1.832085848510483395e+00,-1.793796710205157865e+02,-6.132757660734416971e-01
3.217651460976476141e+00,-2.817957349973184122e+01,-1.836356830249090244e+00,-1.794192234093742400e+02,-6.298563257229328194e-01
3.236918834994299221e+00,-2.812742726573869234e+01,-1.840627967059850212e+00,-1.794635310823044279e+02,-6.448071784630325931e-01
3.256186209012122745e+00,-2.807690343296641444e+01,-1.844897366831236951e+00,-1.795118115598092174e+02,-6.582283828260269143e-01
3.275453583029945825e+00,-2.802799854106241284e+01,-1.849163134291735178e+00,-1.795639446687206942e+02,-6.702181328801770643e-01
3.294720957047768906e+00,-2.798070882061876929e+01,-1.853423371531059516e+00,-1.796203870590648819e+02,-6.808314574410125886e-01
3.313988331065592430e+00,-2.793503019855269898e+01,-1.857676177683540431e+00,-1.796819133551890104e+02,-6.900481999831538094e-01
3.333255705083415510e+00,-2.789095829128394755e+01,-1.861919648548401529e+00,-1.797492435780955304e+02,-6.977591782976516610e-01
3.352523079101238590e+00,-2.784848838737414312e+01,-1.866151876926694708e+00,-1.798226469460648502e+02,-7.037749200486940193e-01
3.371790453119062114e+00,-2.780761542448229662e+01,-1.870370954245301753e+00,-1.799016194643213282e+02,-7.078558838156076005e-01
3.391057827136885194e+00,-2.776833396731036530e+01,-1.874574973674780543e+00,-1.799847177991487968e+02,-7.097579505208667650e-01
3.410325201154708274e+00,-2.773063819318764089e+01,-1.878762034530969904e+00,-1.800695994698972981e+02,-7.092830867749060353e-01
3.429592575172531799e+00,-2.769452189010449317e+01,-1.882930247394277501e+00,-1.801532740197669682e+02,-7.063230198133625404e-01
3.448859949190354879e+00,-2.765997846887844602e+01,-1.887077739181423075e+00,-1.802325166583545979e+02,-7.008841784369306271e-01
3.468127323208177959e+00,-2.762700098758613265e+01,-1.891202657414100319e+00,-1.803043446459956840e+02,-6.930857641509595712e-01
3.487394697226001483e+00,-2.759558218339313029e+01,-1.895303173142130149e+00,-1.803664242777726940e+02,-6.831297278698892361e-01
3.506662071243824563e+00,-2.756571450526677935e+01,-1.899377482334570155e+00,-1.804172817194080949e+02,-6.712502313571200308e-01
3.525929445261647643e+00,-2.753739014119512873e+01,-1.903423805952309422e+00,-1.804562428500499607e+02,-6.576578120501124225e-01
3.545196819279470724e+00,-2.751060103539480295e+01,-1.907440389250643298e+00,-1.804831133436455843e+02,-6.424965204686273745e-01
3.564464193297294248e+00,-2.748533889404340513e+01,-1.911425501039971664e+00,-1.804976993450485168e+02,-6.258289921660699084e-01
3.583731567315117328e+00,-2.746159518147149825e+01,-1.915377433610353508e+00,-1.804993273298466363e+02,-6.076557570430983768e-01
3.602998941332940408e+00,-2.743936111156487456e+01,-1.919294503809900743e+00,-1.804865292511659050e+02,-5.879641445512139297e-01
3.622266315350763932e+00,-2.741862764060078561e+01,-1.923175055419171331e+00,-1.804570151079915377e+02,-5.667923450408787200e-01
3.641533689368587012e+00,-2.739938546748540560e+01,-1.927017462580146834e+00,-1.804079717806667418e+02,-5.442882294230652063e-01
3.660801063386410092e+00,-2.738162504546679443e+01,-1.930820133724107768e+00,-1.803366237358983426e+02,-5.207423107574029597e-01
3.680068437404233617e+00,-2.736533660639878818e+01,-1.934581515282528308e+00,-1.802408956405174081e+02,-4.965808124667352996e-01
3.699335811422056697e+00,-2.735051019535869798e+01,-1.938300094501016702e+00,-1.801199651434276063e+02,-4.723174025810407684e-01
3.718603185439879777e+00,-2.733713571076713933e+01,-1.941974400896444575e+00,-1.799745174840538198e+02,-4.484768998879098412e-01
3.737870559457703301e+00,-2.732520294383876447e+01,-1.945603006239837285e+00,-1.798066144105098942e+02,-4.255148846977562238e-01
3.757137933475526381e+00,-2.731470161155217724e+01,-1.949184523317948781e+00,-1.796192283161163061e+02,-4.037583819952188513e-01
3.776405307493349461e+00,-2.730562137925054955e+01,-1.952717604023606945e+00,-1.794156054956503965e+02,-3.833840819891725649e-01
3.795672681511172986e+00,-2.729795187193013462e+01,-1.956200937468939305e+00,-1.791986632509128015e+02,-3.644365420191550964e-01
3.814940055528996066e+00,-2.729168267643087731e+01,-1.959633248768889224e+00,-1.789705892546471375e+02,-3.468759184789018679e-01
3.834207429546819146e+00,-2.728680333924812018e+01,-1.963013298919884742e+00,-1.787327273499989531e+02,-3.306374039390087560e-01
3.853474803564642226e+00,-2.728330336586341431e+01,-1.966339885862544268e+00,-1.784857396140427568e+02,-3.156837042127180748e-01
3.872742177582465750e+00,-2.728117222703659550e+01,-1.969611846460729288e+00,-1.782299579582453646e+02,-3.020363187593573806e-01
3.892009551600288830e+00,-2.728039937555235994e+01,-1.972828058849441568e+00,-1.779657950830405468e+02,-2.897790555202334750e-01
3.911276925618111910e+00,-2.728097427401743502e+01,-1.975987444476717592e+00,-1.776940809724627854e+02,-2.790359218380544237e-01
3.930544299635935435e+00,-2.728288643125899071e+01,-1.979088969223008698e+00,-1.774162261815915826e+02,-2.699329389480576435e-01
3.949811673653758515e+00,-2.728612544251202010e+01,-1.982131643208191907e+00,-1.771341752556217841e+02,-2.625573711960156320e-01
3.969079047671581595e+00,-2.729068102754265013e+01,-1.985114519227969776e+00,-1.768501812521607803e+02,-2.569272452872614632e-01
3.988346421689405119e+00,-2.729654306140749398e+01,-1.988036690106875781e+00,-1.765664823487628610e+02,-2.529794895039616520e-01
4.007613795707228199e+00,-2.730370159453355328e+01,-1.990897285520083937e+00,-1.762849798275987325e+02,-2.505786117927454870e-01
4.026881169725051279e+00,-2.731214686166564221e+01,-1.993695468949303606e+00,-1.760070035133011004e+02,-2.495419309396988139e-01
4.046148543742874359e+00,-2.732186928218328248e+01,-1.996430435369626055e+00,-1.757332168507642791e+02,-2.496735722471928043e-01
4.065415917760697440e+00,-2.733285945653048898e+01,-1.999101410034436643e+00,-1.754636728969748276e+02,-2.507982083304443610e-01
4.084683291778521408e+00,-2.734510816442508130e+01,-2.001707648398311168e+00,-1.751979952303018990e+02,-2.527865469897563333e-01
4.103950665796344488e+00,-2.735860636987938577e+01,-2.004248436883124374e+00,-1.749356306574799191e+02,-2.555672255238206625e-01
4.123218039814167568e+00,-2.737334523605536774e+01,-2.006723093941721103e+00,-1.746761074360117902e+02,-2.591233927307181606e-01
4.142485413831990648e+00,-2.738931615015446042e+01,-2.009130970774156033e+00,-1.744192355975017392e+02,-2.634760928586845630e-01
4.161752787849813728e+00,-2.740651075567993544e+01,-2.011471451129757337e+00,-1.741652043196896216e+02,-2.686597355444388935e-01
