Frequency (GHz), Theta Pol: Theta=90.0 & Phi=180.0 (dBsm), Theta Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin), Phi Pol: Theta=90.0 & Phi=180.0 (dBsm), Phi Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin)
4.373693902045868498e+00,-2.767431605691722396e+01,-2.032606659465251209e+00,-1.715421890100379585e+02,-3.809906446029363014e-01
4.392961276063692466e+00,-2.770566553554570888e+01,-2.034098558114672883e+00,-1.713522974743984548e+02,-3.923180809392238233e-01
4.412228650081515546e+00,-2.773816134099011421e+01,-2.035516861417047796e+00,-1.711669404285798635e+02,-4.038737729568476764e-01
4.431496024099338626e+00,-2.777180023467425585e+01,-2.036861166181178628e+00,-1.709858470183377506e+02,-4.156182440745785356e-01
4.450763398117161707e+00,-2.780657943135881638e+01,-2.038131068950740143e+00,-1.708087006883117454e+02,-4.275275891536452488e-01
4.470030772134984787e+00,-2.784249660540676885e+01,-2.039326162655794139e+00,-1.706352044572809064e+02,-4.395936497908052853e-01
4.489298146152807867e+00,-2.787954989230734881e+01,-2.040446033447642638e+00,-1.704651378943912334e+02,-4.518206020385492905e-01
4.508565520170631835e+00,-2.791773788708786341e+01,-2.041490257937885300e+00,-1.702983920342304884e+02,-4.642189233476711197e-01
4.527832894188454915e+00,-2.795705964198883109e+01,-2.042458400937286367e+00,-1.701349744593112518e+02,-4.767983307497249412e-01
4.547100268206277995e+00,-2.799751466587221316e+01,-2.043350013638753460e+00,-1.699749845588824826e+02,-4.895614846152243071e-01
4.566367642224101075e+00,-2.803910292725152331e+01,-2.044164632053035557e+00,-1.698185664724096000e+02,-5.024999904129691108e-01
4.585635016241924156e+00,-2.808182486173841497e+01,-2.044901775422652612e+00,-1.696658525058069245e+02,-5.155935910930969923e-01
4.604902390259747236e+00,-2.812568138339564072e+01,-2.045560944331575204e+00,-1.695169116271420364e+02,-5.288126085752309358e-01
4.624169764277570316e+00,-2.817067389832984858e+01,-2.046141618297002918e+00,-1.693717157554125095e+02,-5.421228852019230882e-01
4.643437138295394284e+00,-2.821680431816467305e+01,-2.046643252756009890e+00,-1.692301316429281428e+02,-5.554918905042113275e-01
4.662704512313217364e+00,-2.826407507099460403e+01,-2.047065275508744175e+00,-1.690919395623096477e+02,-5.688944219325811069e-01
4.681971886331040444e+00,-2.831248910803963881e+01,-2.047407082810330348e+00,-1.689568733667137508e+02,-5.823164795384759840e-01
4.701239260348863525e+00,-2.836204990532790404e+01,-2.047668035379749618e+00,-1.688246713546982392e+02,-5.957563859516993299e-01
4.720506634366686605e+00,-2.841276146102220324e+01,-2.047847454594987848e+00,-1.686951249335160696e+02,-6.092229314762137582e-01
4.739774008384509685e+00,-2.846462829012222429e+01,-2.047944619069525185e+00,-1.685681129110204495e+02,-6.227310754020486394e-01
4.759041382402333653e+00,-2.851765541891093747e+01,-2.047958761676211825e+00,-1.684436131371481054e+02,-6.362963402290388037e-01
4.778308756420156733e+00,-2.857184838149776240e+01,-2.047889066936197544e+00,-1.683216891461754585e+02,-6.499293407944696233e-01
4.797576130437979813e+00,-2.862721322014799696e+01,-2.047734668563422122e+00,-1.682024558508716723e+02,-6.636318197639937688e-01
4.816843504455802893e+00,-2.868375648995992222e+01,-2.047494646883930791e+00,-1.680860335287480609e+02,-6.773951418267277758e-01
4.836110878473625974e+00,-2.874148526716834695e+01,-2.047168025853152162e+00,-1.679725020180415811e+02,-6.912015515137459598e-01
4.855378252491449054e+00,-2.880040715926578443e+01,-2.046753769471936213e+00,-1.678618666320633963e+02,-7.050277980196580918e-01
4.874645626509272134e+00,-2.886053031453752382e+01,-2.046250777531961162e+00,-1.677540440474374748e+02,-7.188501516453895679e-01
4.893913000527096102e+00,-2.892186342866501647e+01,-2.045657880767268288e+00,-1.676488712394370850e+02,-7.326495160253893024e-01
4.913180374544919182e+00,-2.898441574674412990e+01,-2.044973835610932156e+00,-1.675461347374125864e+02,-7.464153457966902216e-01
4.932447748562742262e+00,-2.904819706020027681e+01,-2.044197318820593967e+00,-1.674456124561538957e+02,-7.601474016347093965e-01
4.951715122580565343e+00,-2.911321769934628279e+01,-2.043326922225957798e+00,-1.673471173260314799e+02,-7.738549321273280324e-01
4.970982496598388423e+00,-2.917948852337444166e+01,-2.042361147768147145e+00,-1.672505316380051852e+02,-7.875535271635362156e-01
