Frequency (GHz), Theta Pol: Theta=90.0 & Phi=180.0 (dBsm), Theta Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin), Phi Pol: Theta=90.0 & Phi=180.0 (dBsm), Phi Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin)
3.448859949190354879e+00,-2.765999105562591964e+01,-1.887070766331602867e+00,-1.797595440039613379e+02,-6.071692686993117594e-01
3.468127323208177959e+00,-2.762701372145029310e+01,-1.891195609896329177e+00,-1.797972880114036514e+02,-5.980330323320728336e-01
3.487394697226001483e+00,-2.759559509984772419e+01,-1.895296058361703340e+00,-1.798236069969847506e+02,-5.870488593026091939e-01
3.506662071243824563e+00,-2.756572766717432543e+01,-1.899370304419209177e+00,-1.798372774445153084e+02,-5.744493667656099811e-01
3.525929445261647643e+00,-2.753740362046376688e+01,-1.903416564640296293e+00,-1.798377113416587747e+02,-5.604457414755126266e-01
3.545196819279470724e+00,-2.751061489241545743e+01,-1.907433080008736237e+00,-1.798246859861993698e+02,-5.451983588106606993e-01
3.564464193297294248e+00,-2.748535316063316358e+01,-1.911418116361794484e+00,-1.797979811277866986e+02,-5.288102089194641753e-01
3.583731567315117328e+00,-2.746160985200173243e+01,-1.915369965119702922e+00,-1.797570484630718113e+02,-5.113455135111050209e-01
3.602998941332940408e+00,-2.743937614462393171e+01,-1.919286944575429033e+00,-1.797008307804279355e+02,-4.928676061225119032e-01
3.622266315350763932e+00,-2.741864297059253275e+01,-1.923167401836082924e+00,-1.796278025869712280e+02,-4.734836090060702274e-01
3.641533689368587012e+00,-2.739940102282037415e+01,-1.927009715302792303e+00,-1.795362344285526603e+02,-4.533806187988409508e-01
3.660801063386410092e+00,-2.738164076821833604e+01,-1.930812297402860311e+00,-1.794246087531595037e+02,-4.328400248920373783e-01
3.680068437404233617e+00,-2.736535246795529375e+01,-1.934573597192730476e+00,-1.792920591078302834e+02,-4.122231144814867965e-01
3.699335811422056697e+00,-2.735052620378023036e+01,-1.938292102457725985e+00,-1.791386889128354198e+02,-3.919305918498511287e-01
3.718603185439879777e+00,-2.733715190790615068e+01,-1.941966341041805322e+00,-1.789656622208086674e+02,-3.723477646924632789e-01
3.737870559457703301e+00,-2.732521939314518633e+01,-1.945594881318135405e+00,-1.787750363819845063e+02,-3.537921548175806397e-01
3.757137933475526381e+00,-2.731471838005432673e+01,-1.949176331910885018e+00,-1.785693941052039690e+02,-3.364789814423806980e-01
3.776405307493349461e+00,-2.730563851877660042e+01,-1.952709340946582772e+00,-1.783513937089862509e+02,-3.205131450088777312e-01
3.795672681511172986e+00,-2.729796940478675893e+01,-1.956192595204939488e+00,-1.781233702297141406e+02,-3.059072594540047096e-01
3.814940055528996066e+00,-2.729170058945974731e+01,-1.959624819530278117e+00,-1.778870890550780359e+02,-2.926175987889525487e-01
3.834207429546819146e+00,-2.728682158781377964e+01,-1.963004776758967562e+00,-1.776436969493864524e+02,-2.805857929883034396e-01
3.853474803564642226e+00,-2.728332188655415180e+01,-1.966331268244704944e+00,-1.773938548826209285e+02,-2.697741368020940000e-01
3.872742177582465750e+00,-2.728119095545735817e+01,-1.969603134869473582e+00,-1.771379895249754384e+02,-2.601856471759331213e-01
3.892009551600288830e+00,-2.728041826421557303e+01,-1.972819258265908759e+00,-1.768765751094969687e+02,-2.518652092825572897e-01
3.911276925618111910e+00,-2.728099330536431566e+01,-1.975978561890115559e+00,-1.766103583127098204e+02,-2.448838161841785932e-01
3.930544299635935435e+00,-2.728290562224777815e+01,-1.979080011595631516e+00,-1.763404638842306440e+02,-2.393125273721372070e-01
3.949811673653758515e+00,-2.728614483958636683e+01,-1.982122615465549575e+00,-1.760683595816608999e+02,-2.351950901909058422e-01
3.969079047671581595e+00,-2.729070069347534755e+01,-1.985105422831704214e+00,-1.757957021488624889e+02,-2.325276361923803714e-01
3.988346421689405119e+00,-2.729656305775391090e+01,-1.988027522600719577e+00,-1.755241179763690980e+02,-2.312509216498868092e-01
4.007613795707228199e+00,-2.730372196461018675e+01,-1.990888041165141953e+00,-1.752549843891592332e+02,-2.312564521636043813e-01
4.026881169725051279e+00,-2.731216761877473331e+01,-1.993686140261431872e+00,-1.749892698488209248e+02,-2.324039289346674364e-01
4.046148543742874359e+00,-2.732189040630220589e+01,-1.996421015123085452e+00,-1.747274696303392716e+02,-2.345448054522868420e-01
4.065415917760697440e+00,-2.733288090030346140e+01,-1.999091893170749090e+00,-1.744696459464337579e+02,-2.375457592975765975e-01
4.084683291778521408e+00,-2.734512986670437229e+01,-2.001698033310874258e+00,-1.742155553261307830e+02,-2.413064763480272379e-01
4.103950665796344488e+00,-2.735862827298287314e+01,-2.004238725726413151e+00,-1.739648265031406140e+02,-2.457679555133082394e-01
4.123218039814167568e+00,-2.737336730191084300e+01,-2.006713291887999073e+00,-1.737171424432708022e+02,-2.509100859228755032e-01
4.142485413831990648e+00,-2.738933837085349055e+01,-2.009121084433622251e+00,-1.734723820253705355e+02,-2.567399478275915747e-01
4.161752787849813728e+00,-2.740653315555706016e+01,-2.011461486580482738e+00,-1.732306896646114467e+02,-2.632745089250768666e-01
4.181020161867636808e+00,-2.742494361602259190e+01,-2.013733910839959673e+00,-1.729924614592459591e+02,-2.705225671787367947e-01
4.200287535885460777e+00,-2.744456202138010426e+01,-2.015937796976302376e+00,-1.727582585755399691e+02,-2.784706366681296563e-01
4.219554909903283857e+00,-2.746538097082554586e+01,-2.018072609335858747e+00,-1.725286763359004283e+02,-2.870760966147621884e-01
4.238822283921106937e+00,-2.748739340862347902e+01,-2.020137833826078477e+00,-1.723042063215470421e+02,-2.962688039108372084e-01
4.258089657938930017e+00,-2.751059263265536359e+01,-2.022132974901147406e+00,-1.720851273559608785e+02,-3.059601503809716849e-01
